"","category","name","reviewer","review","date","ratings"
"1","Notebook","My Notes A4 Card Cover Wirebound Notebook, Ruled with Margin and Perforated, 200 Page, 1 Notebook Black","R Coleman","About a year ago I bought some Oxford Campus notebooks and found them excellent. I really like how my fountain pen looks on the pages, there's no bleeding unlike with other notebooks (e.g., Pukka Pads). Recently the Oxford Campus line was changed to include ""support"" for Oxford's Scribzee app, which I didn't want — there are ugly blue markers in the corners of all the pages of the new notebooks.Happily, this notebook is very similar to the old Oxford Campus ones; that is to say, it doesn't support Scribzee and has clean pages for you to do as you like with. One of the photos shows my old Campus notebook (left) next to this one (right). The paper is almost exactly the same between them (the old one looks a little grey as it's been in my bag for several months).Overall, I'm very happy. This is a quality notebook at a good price without any gimmicks like the Scribzee app.","Reviewed in the United Kingdom on 19 June 2018","4.6 out of 5 stars"
"2","Notebook","My Notes A4 Card Cover Wirebound Notebook, Ruled with Margin and Perforated, 200 Page, 1 Notebook Black","Luke Tomlinson","Hello, I recently ran out of space in my last revision book( to write things in when revising) so I scoured amazon in order to find one. One cool thing about this book is that it has the function to use an app and take a photo! (could you tell I was being sarcastic?)However even if it is something as simple as taking a photo the app allows for easy and clean filing of work so that you can keep your notes on you anywhere you may go. (considering you bring your phone around with you)Overall good product, wish that it was a bit bigger but no biggie!","Reviewed in the United Kingdom on 23 December 2016","5.0 out of 5 stars"
"3","Notebook","My Notes A4 Card Cover Wirebound Notebook, Ruled with Margin and Perforated, 200 Page, 1 Notebook Black","R Coleman","I needed regular ruled paper as I was using a fountain pen which had more ink flow than my usual, and this paper worked great, the ink didn't bleed through at all or ghost, so I could comfortably use both sides of the paper. Good quality paper","Reviewed in the United Kingdom on 19 June 2018","3.0 out of 5 stars"
"4","Notebook","My Notes A4 Card Cover Wirebound Notebook, Ruled with Margin and Perforated, 200 Page, 1 Notebook Black","R Coleman","Purchased this as it was one of the only lines of oxford notepads left without the god awful ‘sribbleze’ marks in all 4 corners of every page.Overall I’m impressed. The paper does what it says and works very well with fountain pen ink, not allowing any feathering etc. The ink didn’t get through to the other side of the page either. The pages look and feel excellent quality and are a bright white.Unfortunately it is a soft back notebook and after just week of use I’m starting to see wear. I don’t mind the back getting worn down but this in turn allows the pages inside to crease etc. I would also rather have grey lines than blue.","Reviewed in the United Kingdom on 21 January 2021","5.0 out of 5 stars"
"5","Notebook","My Notes A4 Card Cover Wirebound Notebook, Ruled with Margin and Perforated, 200 Page, 1 Notebook Black","Otter Lover","Good quality paper, silky feel, nice to write on, St pie l bound is good quality and does not come undone . Only minor downside is that the cover feels a bit flimsy meaning the notebook feels a bit more bendy than I'd have liked but that is a minor quibble. Woukd buy again.","Reviewed in the United Kingdom on 11 April 2021","5.0 out of 5 stars"
"6","Notebook","My Notes A4 Card Cover Wirebound Notebook, Ruled with Margin and Perforated, 200 Page, 1 Notebook Black","Amazon Customer","Paper quality is amazing, good value for money, used app to go along with it and it’s great for uni students","Reviewed in the United Kingdom on 21 October 2018","5.0 out of 5 stars"
"7","Notebook","My Notes A4 Card Cover Wirebound Notebook, Ruled with Margin and Perforated, 200 Page, 1 Notebook Black","Greg","The paper quality is good, and is a delight to write on with any pen. The only downfall to this product is the pad itself, it fell apart and now i just have a pile of paper that is annoying to carry around school and needs to be taken care of as its easy to crush. The main lining of the spiral outside unwound one night and all the paper just fell apart. I much prefer the Cambridge paper pads.","Reviewed in the United Kingdom on 26 July 2021","4.0 out of 5 stars"
"8","Notebook","My Notes A4 Card Cover Wirebound Notebook, Ruled with Margin and Perforated, 200 Page, 1 Notebook Black","Greg","One of the best quality notebooks I've bought for Univerity. I've used this with a wide variety of ballpoint and gel pens and no ink bleeds through the pages.Tearing out sheets is flawless too and does not leave paper inside the ring binder like other notebooks such as the pukka pads.","Reviewed in the United Kingdom on 30 April 2021","5.0 out of 5 stars"
"9","Notebook","My Notes A4 Card Cover Wirebound Notebook, Ruled with Margin and Perforated, 200 Page, 1 Notebook Black","Film fan","it’s okay I guess, it came scratched and the edges were a bit bent but overall it’s not bad.","Reviewed in the United Kingdom on 23 December 2016","5.0 out of 5 stars"
"10","Notebook","My Notes A4 Card Cover Wirebound Notebook, Ruled with Margin and Perforated, 200 Page, 1 Notebook Black","megan","Paper is beautiful it feels thick but i noticed the ink of my writing had come through to 3 pages that i could not use so im wasting paper to be fair it looks nice but hmmm im not sure if id buy again having to throw wasted paper away.","Reviewed in the United Kingdom on 29 September 2018","5.0 out of 5 stars"
