"","category","name","price","ratings","no_of_reviews"
"1","Notebook","Notes London Eco A5 Notebook with Lined Pages, Pen Loop, Ribbon, Date Marks and Paper Pocket, Medium Hardback Journal, Note, sustainably sourced paper (Green)","£5.82","4.6 out of 5 stars","3,371"
"2","Notebook","Oxford Black n' Red A4 Notebook, Glossy Hardback Wirebound, Pack of 3","£54.89","4.8 out of 5 stars","1,382"
"3","Notebook","Summit Jotter, A5 Metallic Notebook, Wirebound, Lined, 200 Page, Pack of 3, Green","£18.30","4.6 out of 5 stars","4,318"
"4","Notebook","Pukka Pad, A5 Metallic Jotta Book 3-Pack for Home, School, and Office – 15 x 21cm – Wirebound Notebook with 8mm Lines and 80GSM Paper – Features Perforated Edges - 200 Pages, Green","£6.44","4.7 out of 5 stars","7,654"
"5","Notebook","Nu Notebooks - Kraft Range - Black Stitched Spine A5 Notebook - Stationery Notebooks - Professional Notepad - 80 Pages","£2.15","4.5 out of 5 stars","1,441"
"6","Notebook","A5 Notebook, 2 Pack Notebook A5 200 Pages 100 GSM Journal Notebook Hardback Notepad with Bookmark, Pen Loop, and Elastic Closure (Black+Black)","£7.19","4.6 out of 5 stars","331"
"7","Notebook","A5 Notebook, PU Leather Journal Notepad for Office School Home Business Writing & Note Taking 200 Pages (100 Sheets)-Blue","£5.93","4.5 out of 5 stars","1,217"
"8","Notebook","RETTACY A5 Notebook, Notepad, Wirebound Spiral Notebooks 300Pages /150 Sheets for Writing,100gsm College-Ruled Paper, PVC Hardcover, for Women Men Work Office School,14.5 x 21cm - Pink","£1.98","4.7 out of 5 stars","462"
"9","Notebook","Oinvs A5 Spiral Notebooks Bound(160Pages) Waterproof Notepad Cute Exercise Lined,Hardcover,Easy to Carry,4pcs-Leaf","£11.93","4.8 out of 5 stars","31"
"10","Notebook","Silvine Luxpad 120 Page A5 FSC Wirebound Notebook with Durable Pressboard Covers [Single], PRA5","£2.70","4.4 out of 5 stars","390"
"11","Notebook","Pukka Pad Jotta A5 Notebook JM021 - Pack of 12","£9.16","4.6 out of 5 stars","102"
"12","Notebook","Bstorify A5 Notebook And Pen Set - Journal Notepad 160 Lined Pages (14.85 x 21 cm) Black Notebook A5 with Hardback Cover, Pen Loop, Expandable Pocket - Ideal for Notetaking and Writing (A5, Black)","£5.82","4.4 out of 5 stars","703"
"13","Notebook","Nu Notebooks - Craze Cloud Range - A5 Journal - Journal Supplies - Stationery Notebooks - Ruled Notepad - Black - 160 Pages","£8.32","4.4 out of 5 stars","421"
"14","Notebook","RETTACY Lined Journal Notebook - A5 Note Book Hardcover Thick Notepad 320 Numbered Pages for Writing,100gsm Lined Paper, Leather Hardcover, for Women Men Work Office School,14.5 x 21cm - Green","£9.34","4.7 out of 5 stars","1,749"
"15","Notebook","A5 Notebook - Artfan Notebook A5 Twin-Wire Binding, Elastic Closure, Premium Lined Pages, 21 cm × 16 cm, Pink and Gold","£10.99","4.5 out of 5 stars","24"
"16","Notebook","Cambridge Notebook, Classic Ruled, 192 Lined Pages, Teal Journal","£3.32","4.5 out of 5 stars","1,694"
"17","Notebook","Artfan Notebook - A5 Notebook with Premium Paper, 144 Pages, Notebook A5 Journal, Faux Leather Classic Hardcover with Lovely Stamping, Black","£23.32","4.8 out of 5 stars","48"
"18","Notebook","Pukka Pad, A4 Metallic Jotta Book 3 Pack – 21 x 30cm – Wirebound Notebook with 8mm Lines and 80GSM Paper – Features 4-Hole Punch Margins and Perforated Edges - 200 Pages, Green","£1.94","4.7 out of 5 stars","25,245"
"19","Notebook","Silvine Luxpad Metallic A4+ FSC Wirebound Notebook - Lined (200 Pages) Pack of 3","£4.57","4.6 out of 5 stars","217"
"20","Notebook","Q-Connect Feint Ruled Shorthand Notebook 160 Pages 203x127mm (20 Pack)","£5.82","4.6 out of 5 stars","345"
"21","Notebook","Oxford Campus A4 Notebook, Wirebound, Assorted Colours, Pack of 3","£3.59","4.7 out of 5 stars","1,389"
"22","Notebook","Notebook A5, Journal A5 Notebook Notepad Note Book, 360 Pages Hardcover Journal Notebooks with Pen Loop for Office School Home Business Writing & Note Taking, Gray","£10.82","4.7 out of 5 stars","262"
"23","Notebook","Oxford Campus A4 Notebook, Wirebound, Assorted Colours, Pack of 5","£6.99","4.7 out of 5 stars","5,963"
"24","Notebook","Cambridge Jotter, A4 Notebook, Wirebound, Lined, 200 Page, Pack of 3, green","£13.13","4.7 out of 5 stars","19,163"
"25","Notebook","RETTACY Notebook A5 Lined Hardback 2 Pack - Thick Journal with 376 Numbered Paper,2 Free Sticky Notes Divider,100gsm Paper,8 Perforated Sheets, Pen Loop, Inner Pocket, 14.5 x 21cm (Black Green)","£7.16","4.7 out of 5 stars","3,677"
"26","Notebook","A5 Notebooks, Journal Notebook, A5 Notepad Notebook for Office School Home Business Writing & Note Taking 80gsm（Black）","£8.63","4.5 out of 5 stars","1,321"
"27","Notebook","Amazon Basics Classic Black Casebound Notebook with Elastic Closure, Blank / Plain, 240 pages, Large 13.4 x 1.7 x 21 cm","£2.88","4.5 out of 5 stars","56,274"
"28","Notebook","Summit, A4 Notebook, Wirebound, Lined, 100 Page, Pack of 5","£16.90","4.3 out of 5 stars","243"
"29","Notebook","EMSHOI A5 Notebook Lined 300 Pages/150 Sheets, Wirebound Spiral Notepad Multi-Coloured, 100gsm Thick Paper, Waterproof Hardcover, Writing Journal for Women Men Work Office School, 14.5 x 21cm, Pink","£8.75","4.6 out of 5 stars","281"
"30","Notebook","Oxford Campus A4 Notebook, Wirebound, Pastel Assorted Colours, Pack of 3","£2.92","4.7 out of 5 stars","4,334"
"31","Notebook","4 Packs Spiral Notepad A5 Kraft Cover Notebooks Bulk Journals, Lined Paper 100 Pages/ 50 Sheets Memo Planner Pads Perfect for Travel School - 8.25 x 5.55 inch","£15.29","4.6 out of 5 stars","840"
"32","Notebook","Moleskine Classic Squared Paper Notebook, Soft Cover and Elastic Closure Journal, Color Black, Size Extra Large 19 x 25 , 192 Pages","£0.76","4.6 out of 5 stars","2,534"
"33","Notebook","Pukka Pad B5 Project Book with 10 Repositionable Dividers for Organization – 400 Perforated Pages of 80GSM Paper – 200 Sheet Notebook for School, Office, and Home – White, 190 x 250mm","£22.65","4.7 out of 5 stars","679"
"34","Notebook","Moleskine Cahier Journal - Set of 3 Ruled Notebooks, Cardboard Cover - Size Extra Large 19 x 25 cm - Colour Black - 120 Pages","£13.49","4.7 out of 5 stars","747"
"35","Notebook","Oxford A5 Card Cover Wirebound Notebook, Ruled with Margin and Perforated, 200 Page, Assorted Colours (Pack of 3)","£4.50","4.6 out of 5 stars","5,226"
"36","Notebook","Summit A5+ Ruled with Margin, 160 pages, 3 Pack","£7.49","4.5 out of 5 stars","427"
"37","Notebook","NU Notebooks - Craze Cloud Range - A5 Blue Notebook - Wirebound Notebook - Stationery Notebooks - Ruled Notepad - 110 Pages, NU003357-FSC-BL","£20.25","4.5 out of 5 stars","511"
"38","Notebook","Pukka Pad, Reporter’s Pad 3 Pack for Home, School, and Office – 14 x 20.5cm – Wirebound, Head-Bound Notebook with 160 Pages of 80GSM Paper – Microperforated for Easy Removal – Blue","£4.05","4.7 out of 5 stars","3,918"
"39","Notebook","Asueilc A5 Spiral Notebook Bound (160 pages) Waterproof Notepad Cute Exercise Book, Hardcover, Easy to Carry, 4 Pieces - Flower","£12.59","4.3 out of 5 stars","42"
"40","Notebook","Oxford My Notes, A4 Notebook Hardcover, Twin Pack Of Oxford Floral And Bloom, 140 Pages","£4.20","4.7 out of 5 stars","9,424"
"41","Notebook","The Notebook: The love story to end all love stories (Calhoun Family Saga)","£11.66","4.4 out of 5 stars","11,474"
"42","Notebook","Artfan A5 Notebook - Notebook Journal with Hard Cover, 6"" X 8.3"", Premium Paper, Back Pocket, Elastic Closure, College Ruled Journal","£5.83","4.9 out of 5 stars","23"
"43","Notebook","RETTACY Thick Lined Journal Notebook, A5 Hardcover Leather Journal With 320 Numbered Pages for Writing,100gsm Lined Paper, for Women Men Work Office School,14.5 x 21cm - Dark Green","£5.57","4.8 out of 5 stars","95"
"44","Notebook","5 Packs Spiral Notepad A5, 120 Pages/ 60 Sheets Kraft Cover Wirebound Notebooks Bulk Journals, 8.3 * 5.5 inch Lined Notebook for Business Office School Travel","£5.97","4.5 out of 5 stars","87"
"45","Notebook","Moleskine Classic Plain Paper Notebook, Soft Cover and Elastic Closure Journal, Color Black, Size Extra Large 19 x 25 cm , 192 Pages","£10.34","4.7 out of 5 stars","4,675"
"46","Notebook","Notes London Eco A5 Notebook with Lined Pages, Pen Loop, Ribbon, Date Marks and Paper Pocket, Medium Hardback Journal, Note, sustainably sourced paper (Green)","£5.82","4.6 out of 5 stars","3,371"
"47","Notebook","Oxford Black n' Red A4 Notebook, Glossy Hardback Wirebound, Pack of 3","£54.89","4.8 out of 5 stars","1,382"
"48","Notebook","Summit Jotter, A5 Metallic Notebook, Wirebound, Lined, 200 Page, Pack of 3, Green","£18.30","4.6 out of 5 stars","4,318"
"49","Notebook","Pukka Pad, A5 Metallic Jotta Book 3-Pack for Home, School, and Office – 15 x 21cm – Wirebound Notebook with 8mm Lines and 80GSM Paper – Features Perforated Edges - 200 Pages, Green","£6.44","4.7 out of 5 stars","7,654"
"50","Notebook","Nu Notebooks - Kraft Range - Black Stitched Spine A5 Notebook - Stationery Notebooks - Professional Notepad - 80 Pages","£2.15","4.5 out of 5 stars","1,441"
"51","Notebook","A5 Notebook, 2 Pack Notebook A5 200 Pages 100 GSM Journal Notebook Hardback Notepad with Bookmark, Pen Loop, and Elastic Closure (Black+Black)","£7.19","4.6 out of 5 stars","331"
"52","Notebook","A5 Notebook, PU Leather Journal Notepad for Office School Home Business Writing & Note Taking 200 Pages (100 Sheets)-Blue","£5.93","4.5 out of 5 stars","1,217"
"53","Notebook","RETTACY A5 Notebook, Notepad, Wirebound Spiral Notebooks 300Pages /150 Sheets for Writing,100gsm College-Ruled Paper, PVC Hardcover, for Women Men Work Office School,14.5 x 21cm - Pink","£1.98","4.7 out of 5 stars","462"
"54","Notebook","Oinvs A5 Spiral Notebooks Bound(160Pages) Waterproof Notepad Cute Exercise Lined,Hardcover,Easy to Carry,4pcs-Leaf","£11.93","4.8 out of 5 stars","31"
"55","Notebook","Silvine Luxpad 120 Page A5 FSC Wirebound Notebook with Durable Pressboard Covers [Single], PRA5","£2.70","4.4 out of 5 stars","390"
"56","Notebook","Pukka Pad Jotta A5 Notebook JM021 - Pack of 12","£9.16","4.6 out of 5 stars","102"
"57","Notebook","Bstorify A5 Notebook And Pen Set - Journal Notepad 160 Lined Pages (14.85 x 21 cm) Black Notebook A5 with Hardback Cover, Pen Loop, Expandable Pocket - Ideal for Notetaking and Writing (A5, Black)","£5.82","4.4 out of 5 stars","703"
"58","Notebook","Nu Notebooks - Craze Cloud Range - A5 Journal - Journal Supplies - Stationery Notebooks - Ruled Notepad - Black - 160 Pages","£8.32","4.4 out of 5 stars","421"
"59","Notebook","RETTACY Lined Journal Notebook - A5 Note Book Hardcover Thick Notepad 320 Numbered Pages for Writing,100gsm Lined Paper, Leather Hardcover, for Women Men Work Office School,14.5 x 21cm - Green","£9.34","4.7 out of 5 stars","1,749"
"60","Notebook","A5 Notebook - Artfan Notebook A5 Twin-Wire Binding, Elastic Closure, Premium Lined Pages, 21 cm × 16 cm, Pink and Gold","£10.99","4.5 out of 5 stars","24"
"61","Notebook","Cambridge Notebook, Classic Ruled, 192 Lined Pages, Teal Journal","£3.32","4.5 out of 5 stars","1,694"
"62","Notebook","Artfan Notebook - A5 Notebook with Premium Paper, 144 Pages, Notebook A5 Journal, Faux Leather Classic Hardcover with Lovely Stamping, Black","£23.32","4.8 out of 5 stars","48"
"63","Notebook","Pukka Pad, A4 Metallic Jotta Book 3 Pack – 21 x 30cm – Wirebound Notebook with 8mm Lines and 80GSM Paper – Features 4-Hole Punch Margins and Perforated Edges - 200 Pages, Green","£1.94","4.7 out of 5 stars","25,245"
"64","Notebook","Silvine Luxpad Metallic A4+ FSC Wirebound Notebook - Lined (200 Pages) Pack of 3","£4.57","4.6 out of 5 stars","217"
"65","Notebook","Q-Connect Feint Ruled Shorthand Notebook 160 Pages 203x127mm (20 Pack)","£5.82","4.6 out of 5 stars","345"
"66","Notebook","Oxford Campus A4 Notebook, Wirebound, Assorted Colours, Pack of 3","£3.59","4.7 out of 5 stars","1,389"
"67","Notebook","Notebook A5, Journal A5 Notebook Notepad Note Book, 360 Pages Hardcover Journal Notebooks with Pen Loop for Office School Home Business Writing & Note Taking, Gray","£10.82","4.7 out of 5 stars","262"
"68","Notebook","Oxford Campus A4 Notebook, Wirebound, Assorted Colours, Pack of 5","£6.99","4.7 out of 5 stars","5,963"
"69","Notebook","Cambridge Jotter, A4 Notebook, Wirebound, Lined, 200 Page, Pack of 3, green","£13.13","4.7 out of 5 stars","19,163"
"70","Notebook","RETTACY Notebook A5 Lined Hardback 2 Pack - Thick Journal with 376 Numbered Paper,2 Free Sticky Notes Divider,100gsm Paper,8 Perforated Sheets, Pen Loop, Inner Pocket, 14.5 x 21cm (Black Green)","£7.16","4.7 out of 5 stars","3,677"
"71","Notebook","A5 Notebooks, Journal Notebook, A5 Notepad Notebook for Office School Home Business Writing & Note Taking 80gsm（Black）","£8.63","4.5 out of 5 stars","1,321"
