"","category","name","reviewer","review","date","ratings"
"1","Pencil","BIC Evolution Original Pencils - Pack of 10 - All-Purpose, Extra- Resistant Erasable Pencils for Easy Drawing and Writing, black","Fred","They don't break, they have a nice look and they are overall really nice. I would definitely recommend for back to school.","Reviewed in the United Kingdom on 14 September 2023","4.5 out of 5 stars"
"2","Pencil","BIC Evolution Original Pencils - Pack of 10 - All-Purpose, Extra- Resistant Erasable Pencils for Easy Drawing and Writing, black","Kyle","Good quality & value for money","Reviewed in the United Kingdom on 10 July 2023","5.0 out of 5 stars"
"3","Pencil","BIC Evolution Original Pencils - Pack of 10 - All-Purpose, Extra- Resistant Erasable Pencils for Easy Drawing and Writing, black","Fred","As described decent pencils","Reviewed in the United Kingdom on 14 September 2023","3.0 out of 5 stars"
"4","Pencil","BIC Evolution Original Pencils - Pack of 10 - All-Purpose, Extra- Resistant Erasable Pencils for Easy Drawing and Writing, black","Amazon Customer","Image seems to indicate they pack came with a pen but it doesn't. Pencils are fine enough, slight bend to them, rubbers are mid.","Reviewed in the United Kingdom on 3 September 2023","5.0 out of 5 stars"
"5","Pencil","BIC Evolution Original Pencils - Pack of 10 - All-Purpose, Extra- Resistant Erasable Pencils for Easy Drawing and Writing, black","PillaF","Good price cannot comment further as back to school item and not yet used","Reviewed in the United Kingdom on 9 October 2023","5.0 out of 5 stars"
"6","Pencil","BIC Evolution Original Pencils - Pack of 10 - All-Purpose, Extra- Resistant Erasable Pencils for Easy Drawing and Writing, black","Kir","These branded pencils great grip","Reviewed in the United Kingdom on 26 October 2023","5.0 out of 5 stars"
"7","Pencil","BIC Evolution Original Pencils - Pack of 10 - All-Purpose, Extra- Resistant Erasable Pencils for Easy Drawing and Writing, black","kevin w","The wood used for the pencils are nice and soft and unfortunately so is the graphite, therefore these require a lot of sharpening to keep sharp and don’t last overly long.","Reviewed in the United Kingdom on 15 August 2023","4.0 out of 5 stars"
"8","Pencil","BIC Evolution Original Pencils - Pack of 10 - All-Purpose, Extra- Resistant Erasable Pencils for Easy Drawing and Writing, black","Christine F.","Well, not much to say. They are pencils with an eraser that works 🤣","Reviewed in the United Kingdom on 21 August 2023","5.0 out of 5 stars"
"9","Pencil","BIC Evolution Original Pencils - Pack of 10 - All-Purpose, Extra- Resistant Erasable Pencils for Easy Drawing and Writing, black","Kyle","Very good value for these pencils. Very pleased.","Reviewed in the United Kingdom on 10 July 2023","5.0 out of 5 stars"
"10","Pencil","BIC Evolution Original Pencils - Pack of 10 - All-Purpose, Extra- Resistant Erasable Pencils for Easy Drawing and Writing, black","diane woodward","No pen included like there is shown in the picture. Fast delivery.","Reviewed in the United Kingdom on 24 July 2023","3.0 out of 5 stars"
"11","Pencil","BIC Evolution Original Pencils - Pack of 10 - All-Purpose, Extra- Resistant Erasable Pencils for Easy Drawing and Writing, black","Fred","They don't break, they have a nice look and they are overall really nice. I would definitely recommend for back to school.","Reviewed in the United Kingdom on 14 September 2023","4.5 out of 5 stars"
"12","Pencil","BIC Evolution Original Pencils - Pack of 10 - All-Purpose, Extra- Resistant Erasable Pencils for Easy Drawing and Writing, black","Kyle","Good quality & value for money","Reviewed in the United Kingdom on 10 July 2023","5.0 out of 5 stars"
"13","Pencil","BIC Evolution Original Pencils - Pack of 10 - All-Purpose, Extra- Resistant Erasable Pencils for Easy Drawing and Writing, black","Fred","As described decent pencils","Reviewed in the United Kingdom on 14 September 2023","3.0 out of 5 stars"
"14","Pencil","BIC Evolution Original Pencils - Pack of 10 - All-Purpose, Extra- Resistant Erasable Pencils for Easy Drawing and Writing, black","Amazon Customer","Image seems to indicate they pack came with a pen but it doesn't. Pencils are fine enough, slight bend to them, rubbers are mid.","Reviewed in the United Kingdom on 3 September 2023","5.0 out of 5 stars"
"15","Pencil","BIC Evolution Original Pencils - Pack of 10 - All-Purpose, Extra- Resistant Erasable Pencils for Easy Drawing and Writing, black","PillaF","Good price cannot comment further as back to school item and not yet used","Reviewed in the United Kingdom on 9 October 2023","5.0 out of 5 stars"
"16","Pencil","BIC Evolution Original Pencils - Pack of 10 - All-Purpose, Extra- Resistant Erasable Pencils for Easy Drawing and Writing, black","Kir","These branded pencils great grip","Reviewed in the United Kingdom on 26 October 2023","5.0 out of 5 stars"
"17","Pencil","BIC Evolution Original Pencils - Pack of 10 - All-Purpose, Extra- Resistant Erasable Pencils for Easy Drawing and Writing, black","kevin w","The wood used for the pencils are nice and soft and unfortunately so is the graphite, therefore these require a lot of sharpening to keep sharp and don’t last overly long.","Reviewed in the United Kingdom on 15 August 2023","4.0 out of 5 stars"
"18","Pencil","BIC Evolution Original Pencils - Pack of 10 - All-Purpose, Extra- Resistant Erasable Pencils for Easy Drawing and Writing, black","Christine F.","Well, not much to say. They are pencils with an eraser that works 🤣","Reviewed in the United Kingdom on 21 August 2023","5.0 out of 5 stars"
