"","category","name","price","ratings","no_of_reviews"
"1","Pencil","STAEDTLER 121-2 BK5D Noris School Graphite Pencils - HB Degree (Pack of 5), Black","£1.80","4.7 out of 5 stars","12,569"
"2","Pencil","12 HB Pencils for Children | Pencils for School | Kids Writing Pencils | Hexagonal | Wood Cased | Everyday Office use (Black Lead, 12)","£0.36","4.6 out of 5 stars","2,888"
"3","Pencil","STAEDTLER NORIS SCHOOL PENCILS HB [PACK OF 50) LOOSE","£4.00","4.6 out of 5 stars","1,878"
"4","Pencil","BIC Ecolutions Evolution 655 HB Pencil with Eraser (Pack of 12), Green","£2.75","4.5 out of 5 stars","3,303"
"5","Pencil","Amazon Basics Presharpened Wood Cased #2 HB Pencils, 30 Pack, Orange","£9.16","4.7 out of 5 stars","81,732"
"6","Pencil","STAEDTLER 120-2 BK5D Noris HB Pencils, 5 Count (Pack of 1), Yellow, Black","£0.18","4.7 out of 5 stars","12,709"
"7","Pencil","STAEDTLER NORIS SCHOOL PENCILS HB [Box of 18]","£9.99","4.6 out of 5 stars","717"
"8","Pencil","Just stationery,10 Count (Pack of 1),6346 HB Pencil with Sharpener (Pack of 10),Package May Vary","£2.56","4.5 out of 5 stars","332"
"9","Pencil","STAEDTLER Noris School Pencils 121 - HB Grade [Pack of 36]","£0.21","4.6 out of 5 stars","6,975"
"10","Pencil","Nicpro 2mm Mechanical Pencil Set, 3 PCS Artist Propelling Drafting Clutch Pencil 2.0 mm for Art Drawing Writing Sketching with 6 Tube HB & 2B Refill, Eraser, Sharpener, Propelling Lead Holder","£8.23","4.5 out of 5 stars","2,936"
"11","Pencil","BIC Matic Fun, HB Mechanical Pencils and Eraser, Assorted Barrel Colours with Fine ,Yellow,Blue,Green,White,Pink,Point (0.7mm), Pack of 5,Yellow,Blue,Green,White,Pink","£0.27","4.7 out of 5 stars","4,174"
"12","Pencil","STAEDTLER 61 120 C6 Noris Graphite Pencils - Sketch Set (Pack of 6 Pencils in Assorted Grades, Eraser & FREE Sharpener)","£8.54","4.7 out of 5 stars","21"
"13","Pencil","Bic Matic Original Mechanical Pencils, Perfect for School and Office Use, 0.7 mm Black (HB), Includes 3 HB Lead Refills and Eraser, 12 Count (Pack of 1)","£3.14","4.7 out of 5 stars","5,601"
"14","Pencil","STAEDTLER 132 46BK5D Norica Eraser-Tipped Pencils (Pack of 5)","£0.63","4.7 out of 5 stars","1,634"
"15","Pencil","Paper Mate Non-Stop Mechanical Pencil | 0.7mm | HB #2 | Yellow Barrel | 12 Count","£4.00","4.6 out of 5 stars","5,620"
