"","category","name","reviewer","review","date","ratings"
"1","Pencil","Amazon Basics Presharpened Wood Cased #2 HB Pencils, 30 Pack, Orange","Allan Dunbar","Effective resuts","Reviewed in the United Kingdom on 24 October 2023","4.7 out of 5 stars"
"2","Pencil","Amazon Basics Presharpened Wood Cased #2 HB Pencils, 30 Pack, Orange","Spashscuba","Cheap and reliable basic pencilsEasy to use and no issues foundWould purchase again","Reviewed in the United Kingdom on 23 January 2024","5.0 out of 5 stars"
"3","Pencil","Amazon Basics Presharpened Wood Cased #2 HB Pencils, 30 Pack, Orange","Allan Dunbar","Product arrival on time, as stated on advert good price","Reviewed in the United Kingdom on 24 October 2023","3.0 out of 5 stars"
"4","Pencil","Amazon Basics Presharpened Wood Cased #2 HB Pencils, 30 Pack, Orange","LJA","Not the best pencils in the world, some keep braking but overall good for the price and quantity","Reviewed in the United Kingdom on 6 April 2023","5.0 out of 5 stars"
"5","Pencil","Amazon Basics Presharpened Wood Cased #2 HB Pencils, 30 Pack, Orange","Product inspector","Sturdy pencils. Handy to always have so many around as we can never find one when we need it. We bought these along with a bumper stack of erasers, sharpeners and rulers. Perfect for progress to secondary school when things tend to “go missing”","Reviewed in the United Kingdom on 29 January 2024","5.0 out of 5 stars"
"6","Pencil","Amazon Basics Presharpened Wood Cased #2 HB Pencils, 30 Pack, Orange","Andy Ll","Yep, these are pencils. If you loose a bunch of them then this is the order you need.","Reviewed in the United Kingdom on 30 April 2023","5.0 out of 5 stars"
"7","Pencil","Amazon Basics Presharpened Wood Cased #2 HB Pencils, 30 Pack, Orange","Amazon Customer","I love the way that if I draw something wrong I can rub it out with the orange thing in the end, genius","Reviewed in the United Kingdom on 7 July 2023","4.0 out of 5 stars"
"8","Pencil","Amazon Basics Presharpened Wood Cased #2 HB Pencils, 30 Pack, Orange","George","Very good","Reviewed in the United Kingdom on 12 December 2023","5.0 out of 5 stars"
"9","Pencil","Amazon Basics Presharpened Wood Cased #2 HB Pencils, 30 Pack, Orange","Chris","Ordered these in September 2023, arrived today (Jan 2024)","Reviewed in the United Kingdom on 14 December 2023","5.0 out of 5 stars"
"10","Pencil","Amazon Basics Presharpened Wood Cased #2 HB Pencils, 30 Pack, Orange","I do not receive my item let me know please","Also sent for township children to help with schooling","Reviewed in the United Kingdom on 13 November 2023","5.0 out of 5 stars"
"11","Pencil","Amazon Basics Presharpened Wood Cased #2 HB Pencils, 30 Pack, Orange","Allan Dunbar","Effective resuts","Reviewed in the United Kingdom on 24 October 2023","4.7 out of 5 stars"
"12","Pencil","Amazon Basics Presharpened Wood Cased #2 HB Pencils, 30 Pack, Orange","Spashscuba","Cheap and reliable basic pencilsEasy to use and no issues foundWould purchase again","Reviewed in the United Kingdom on 23 January 2024","5.0 out of 5 stars"
"13","Pencil","Amazon Basics Presharpened Wood Cased #2 HB Pencils, 30 Pack, Orange","Allan Dunbar","Product arrival on time, as stated on advert good price","Reviewed in the United Kingdom on 24 October 2023","3.0 out of 5 stars"
